鄉鎮市區,土地移轉總面積平方公尺,建物移轉總面積平方公尺,單價每平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位移轉總面積平方公尺,車位總價元,屋齡,建築完成年,交易年,總價元,中山區,中正區,信義區,內湖區,北投區,南港區,士林區,大同區,大安區,文山區,松山區,萬華區
文山區,10.23,129.55,145143,1,2,2,15.18,1600000,7,99,106,1820,0,0,0,0,0,0,0,0,0,1,0,0
文山區,19.17,80.39,144297,2,2,2,0,0,17,89,106,1160,0,0,0,0,0,0,0,0,0,1,0,0
內湖區,39.55,112.25,130780,3,2,2,0,0,33,73,106,1468,0,0,0,1,0,0,0,0,0,0,0,0
南港區,45.18,132.55,157525,3,2,2,0,0,18,88,106,2088,0,0,0,0,0,1,0,0,0,0,0,0
南港區,27.09,196.09,208852,4,2,2,33.87,2500000,6,100,106,3638,0,0,0,0,0,1,0,0,0,0,0,0
士林區,14.38,33.54,104353,3,2,1,0,0,42,64,106,350,0,0,0,0,0,0,1,0,0,0,0,0
大安區,14.78,78.55,315086,1,2,1,0,0,6,100,106,2475,0,0,0,0,0,0,0,0,1,0,0,0
士林區,8.59,28.88,65789,0,0,0,0,0,22,84,106,190,0,0,0,0,0,0,1,0,0,0,0,0
士林區,14.92,69.7,124534,2,2,2,0,0,39,67,106,868,0,0,0,0,0,0,1,0,0,0,0,0
士林區,42.83,165.44,178312,3,2,2,0,0,20,86,106,2950,0,0,0,0,0,0,1,0,0,0,0,0
中正區,6.72,53.49,168256,0,0,0,0,0,35,71,106,900,0,1,0,0,0,0,0,0,0,0,0,0
中山區,14.91,143.61,139266,3,2,2,0,0,21,85,106,2000,1,0,0,0,0,0,0,0,0,0,0,0
內湖區,8.97,72.57,183271,1,1,1,18.72,0,12,94,106,1330,0,0,0,1,0,0,0,0,0,0,0,0
中山區,16.58,89.12,182675,2,2,1,12.86,0,5,101,106,1628,1,0,0,0,0,0,0,0,0,0,0,0
